seed,run,i,B,K,xi,gamma,C,C_acc_train,C_acc_test,C_gap_acc,C_auroc_train,C_auroc_test,C_gap_auroc,C_auprc_train,C_auprc_test,C_gap_auprc,C_hinge_gap,C_J_w,C_J_xi,Q_acc_test_max,Q_auroc_test_max,Q_auprc_test_max,Q_acc_train_max,Q_auroc_train_max,Q_auprc_train_max,Q_gap_acc_max,Q_gap_auroc_max,Q_gap_auprc_max,Q_hinge_gap_min,Q_J_w_max,Q_J_w_min,Q_J_w_mean,Q_J_xi_max,Q_J_xi_min,Q_J_xi_mean,alpha_npz_path,Q_topk
44,1,11,5,3,1,1.1,31,0.92,0.8,0.12,0.9792,0.8871111111111111,0.09208888888888889,0.9730285615567484,0.8526020327421364,0.12042652881461202,0.28360635914711596,126.50904534724759,9.233637894482877,0.86,0.9168000000000001,0.9021110884415722,0.92,0.9824,0.9796278696560565,0.15333333333333332,0.1690666666666667,0.22619269562132982,0.47339566123365795,510.39522726937537,267.57944154705234,379.4357428235228,29.96455403823931,9.987098298570267,17.277383097068103,C:\Users\cotjq\OneDrive\Desktop\python_code\Quantum Computing Lab\SVM_Data\alpha data\seed_44\alpha_seed44_run001_idx11_g1.10_B5_K3_xi1_C31.npz,20
44,1,12,5,3,1,1.2,31,0.92,0.8,0.12,0.9792,0.8846222222222223,0.09457777777777765,0.9730285615567484,0.8492694788533237,0.12375908270342473,0.28566036203891254,118.29981224761431,9.220003327531149,0.84,0.9077333333333334,0.8848935423217298,0.94,0.9824,0.9796278696560565,0.17333333333333334,0.15093333333333336,0.24052197849074153,0.2760932346830214,461.1714801352982,253.74947561089198,361.90649479421,35.349930833219624,10.690460856606874,18.19875419487155,C:\Users\cotjq\OneDrive\Desktop\python_code\Quantum Computing Lab\SVM_Data\alpha data\seed_44\alpha_seed44_run001_idx12_g1.20_B5_K3_xi1_C31.npz,20
44,1,13,5,3,1,1.3,31,0.92,0.7933333333333333,0.1266666666666667,0.9808,0.8856888888888889,0.09511111111111115,0.9758857044138913,0.8435994545730868,0.1322862498408045,0.292414065555887,118.94212918613239,8.822718594826604,0.8333333333333334,0.9096888888888889,0.9030731853262359,0.94,0.984,0.9819808108325272,0.16666666666666674,0.1664,0.22923244039335833,0.5630685668052553,448.8759652785356,233.22790656823554,353.01456881500405,26.77591615836314,9.683064173433667,18.116956167768027,C:\Users\cotjq\OneDrive\Desktop\python_code\Quantum Computing Lab\SVM_Data\alpha data\seed_44\alpha_seed44_run001_idx13_g1.30_B5_K3_xi1_C31.npz,20
44,1,14,5,3,1,1.4,31,0.94,0.8,0.1399999999999999,0.9808,0.8849777777777779,0.09582222222222214,0.9758857044138913,0.842262779968217,0.13362292444567436,0.3001153904168513,120.95412781910287,8.440379115367996,0.8333333333333334,0.9111111111111111,0.9007614004245786,0.92,0.9712000000000001,0.9714086759184568,0.21999999999999997,0.20853333333333346,0.26687516944156653,0.3593313830008734,402.5878047172623,177.13918692002687,318.0447778134809,27.15105980452134,12.402100110946634,18.15828702914472,C:\Users\cotjq\OneDrive\Desktop\python_code\Quantum Computing Lab\SVM_Data\alpha data\seed_44\alpha_seed44_run001_idx14_g1.40_B5_K3_xi1_C31.npz,20
44,1,15,5,3,1,1.5,31,0.94,0.8,0.1399999999999999,0.9808,0.8833777777777778,0.09742222222222219,0.9758857044138913,0.8398925854237905,0.1359931189901008,0.3076483138485647,115.22847399186671,8.380810973885037,0.8333333333333334,0.9063111111111112,0.898185558284022,0.92,0.9743999999999999,0.9750968112347422,0.18666666666666665,0.17137777777777752,0.24220909607306118,0.48928980536658623,448.4480575077691,276.34563465426277,357.9897257941856,30.34762202677641,10.979808640071989,18.997254053428563,C:\Users\cotjq\OneDrive\Desktop\python_code\Quantum Computing Lab\SVM_Data\alpha data\seed_44\alpha_seed44_run001_idx15_g1.50_B5_K3_xi1_C31.npz,20
44,1,16,5,3,1,1.6,31,0.94,0.8,0.1399999999999999,0.9808,0.8785777777777778,0.10222222222222221,0.9758857044138913,0.8348174596929117,0.14106824472097967,0.31890304074558784,110.5819572819053,8.289771775016389,0.8466666666666667,0.9157333333333333,0.9082424704045285,0.94,0.968,0.9706723884810842,0.22666666666666657,0.16391111111111112,0.22364975974729517,0.49646164933034287,396.54177060252374,241.30592675692432,311.4246909555633,47.98553856401314,11.692534891738703,21.097766636330697,C:\Users\cotjq\OneDrive\Desktop\python_code\Quantum Computing Lab\SVM_Data\alpha data\seed_44\alpha_seed44_run001_idx16_g1.60_B5_K3_xi1_C31.npz,20
44,1,17,5,3,1,1.7,31,0.94,0.7933333333333333,0.1466666666666666,0.9808,0.8741333333333333,0.10666666666666669,0.9758857044138913,0.8287919435479508,0.1470937608659405,0.3319903799571792,106.94611507565918,8.165245783816175,0.82,0.9008,0.8997073199478033,0.92,0.9792000000000001,0.979760148064496,0.14666666666666672,0.1703111111111112,0.2516747962616085,0.5399600144820355,416.75653423838537,197.19219347703506,322.761571498664,40.12374479624371,10.378531042262166,17.92692630063881,C:\Users\cotjq\OneDrive\Desktop\python_code\Quantum Computing Lab\SVM_Data\alpha data\seed_44\alpha_seed44_run001_idx17_g1.70_B5_K3_xi1_C31.npz,20
44,1,18,5,3,1,1.8,31,0.94,0.7933333333333333,0.1466666666666666,0.9792,0.8712888888888889,0.10791111111111107,0.9730285615567484,0.833111728624413,0.13991683293233548,0.3432652947744218,104.06377203041191,7.973678048235762,0.8266666666666667,0.9116444444444445,0.8986122148266191,0.92,0.968,0.9709837379531963,0.18000000000000005,0.14808888888888894,0.22500755018039498,0.6078533275521321,424.73737641041726,241.47095073603992,329.2828137549535,32.447899975160134,13.165060376435402,19.181644953106364,C:\Users\cotjq\OneDrive\Desktop\python_code\Quantum Computing Lab\SVM_Data\alpha data\seed_44\alpha_seed44_run001_idx18_g1.80_B5_K3_xi1_C31.npz,20
44,1,19,5,3,1,1.9,31,0.94,0.7866666666666666,0.15333333333333332,0.9792,0.8672000000000001,0.11199999999999988,0.9730285615567484,0.8323653687622186,0.14066319279452988,0.34909609638307865,102.01234217574859,7.967228486235931,0.8133333333333334,0.8913777777777778,0.8929804952886771,0.9,0.976,0.968527137055324,0.16666666666666674,0.16888888888888887,0.2742175510046039,0.322194569256048,422.41269704379647,246.03247643584075,334.7684029816463,41.95517904015732,11.674137890435956,19.5244547780278,C:\Users\cotjq\OneDrive\Desktop\python_code\Quantum Computing Lab\SVM_Data\alpha data\seed_44\alpha_seed44_run001_idx19_g1.90_B5_K3_xi1_C31.npz,20
44,1,20,5,3,1,2.0,31,0.94,0.8066666666666666,0.1333333333333333,0.9792000000000001,0.8664888888888889,0.1127111111111112,0.9744612029893899,0.8245025780952813,0.1499586248941086,0.3503790810859847,101.04349475294231,8.071696585371896,0.8266666666666667,0.8944000000000001,0.8920209771612035,0.9,0.976,0.9771515459139584,0.14,0.21706666666666663,0.297344778919195,0.28502222564321106,416.471700748206,148.99508013095692,288.75998897968464,34.628064507122254,11.242413114213454,18.803264996505686,C:\Users\cotjq\OneDrive\Desktop\python_code\Quantum Computing Lab\SVM_Data\alpha data\seed_44\alpha_seed44_run001_idx20_g2.00_B5_K3_xi1_C31.npz,20
44,1,21,5,3,1,2.1,31,0.94,0.8066666666666666,0.1333333333333333,0.9792000000000001,0.8640000000000001,0.11519999999999997,0.9744612029893899,0.8190617804590359,0.155399422530354,0.3518951675014628,98.81162770727036,8.076227834643843,0.86,0.916088888888889,0.9074637040568283,0.94,0.976,0.9746860788334473,0.19999999999999996,0.22382222222222214,0.3101784936567995,0.8131273305926834,344.1802774793408,152.85538869897326,264.33597219960416,31.261357865636985,9.372584567675649,18.09889821799404,C:\Users\cotjq\OneDrive\Desktop\python_code\Quantum Computing Lab\SVM_Data\alpha data\seed_44\alpha_seed44_run001_idx21_g2.10_B5_K3_xi1_C31.npz,20
44,1,22,5,3,1,2.2,31,0.94,0.8,0.1399999999999999,0.976,0.8645333333333333,0.11146666666666671,0.9701271370553239,0.8247376759247187,0.14538946113060525,0.35476141330237043,96.46465578222426,7.9026475836352805,0.8133333333333334,0.8721777777777777,0.8668367874877847,0.92,0.9712000000000001,0.9720159960177124,0.18000000000000005,0.19840000000000002,0.29347951873216827,0.3460581385289102,350.7807419026583,213.34008962112097,283.9342561752906,28.788686105281343,11.388600111350577,18.652385323552117,C:\Users\cotjq\OneDrive\Desktop\python_code\Quantum Computing Lab\SVM_Data\alpha data\seed_44\alpha_seed44_run001_idx22_g2.20_B5_K3_xi1_C31.npz,20
44,1,23,5,3,1,2.3,31,0.94,0.7933333333333333,0.1466666666666666,0.9776,0.8643555555555557,0.11324444444444437,0.9729842799124668,0.8294192696957261,0.14356501021674073,0.3564880661281826,95.2423559146679,7.8114141648789,0.8533333333333334,0.8906666666666667,0.8854615003878398,0.94,0.9712000000000001,0.9674115535609443,0.24,0.21475555555555548,0.3052114570732013,0.45640389880014387,353.8225162852973,139.96442226506866,269.0683387519131,27.63142739349422,11.705479415799307,17.11334178978468,C:\Users\cotjq\OneDrive\Desktop\python_code\Quantum Computing Lab\SVM_Data\alpha data\seed_44\alpha_seed44_run001_idx23_g2.30_B5_K3_xi1_C31.npz,20
44,1,24,5,3,1,2.4,31,0.94,0.7933333333333333,0.1466666666666666,0.9776,0.8647111111111112,0.11288888888888882,0.9729842799124668,0.8315335852382023,0.14145069467426452,0.35699014785554417,94.65727867812994,7.784781267562035,0.8466666666666667,0.8956444444444445,0.8960481169048327,0.94,0.9696,0.9758270270270271,0.18666666666666665,0.1557333333333334,0.17329454251044463,0.4353059556224313,394.1580708005063,111.60118047709726,261.65585630728464,38.39567470796516,11.170783766045009,20.461547092142517,C:\Users\cotjq\OneDrive\Desktop\python_code\Quantum Computing Lab\SVM_Data\alpha data\seed_44\alpha_seed44_run001_idx24_g2.40_B5_K3_xi1_C31.npz,20
44,1,25,5,3,1,2.5,31,0.94,0.7933333333333333,0.1466666666666666,0.9776,0.8647111111111111,0.11288888888888893,0.9729842799124668,0.8327173242537338,0.14026695565873304,0.35874373101695733,94.7295459840264,7.763770258502407,0.8,0.8760888888888889,0.8763459571902972,0.92,0.9647999999999999,0.9675192401279358,0.15333333333333332,0.1758222222222222,0.21168474084804978,0.24511772071886911,366.3730868614857,178.10943518012422,262.341863054896,32.026786373907676,13.081669797815646,21.049022546034596,C:\Users\cotjq\OneDrive\Desktop\python_code\Quantum Computing Lab\SVM_Data\alpha data\seed_44\alpha_seed44_run001_idx25_g2.50_B5_K3_xi1_C31.npz,20
44,1,26,5,3,1,2.6,31,0.94,0.7933333333333333,0.1466666666666666,0.9776,0.8650666666666667,0.11253333333333337,0.9729842799124668,0.8375356656849922,0.13544861422747467,0.35978800464971283,95.75257908936644,7.67356102788604,0.8266666666666667,0.8956444444444445,0.892947431031265,0.9,0.976,0.9791012736056215,0.15999999999999992,0.22986666666666666,0.32595917263470753,0.23553413505739812,331.9428831523487,125.34394300775689,245.27486008230844,29.59921544515708,10.732435548460773,17.995815937009787,C:\Users\cotjq\OneDrive\Desktop\python_code\Quantum Computing Lab\SVM_Data\alpha data\seed_44\alpha_seed44_run001_idx26_g2.60_B5_K3_xi1_C31.npz,20
44,1,27,5,3,1,2.7,31,0.94,0.7866666666666666,0.15333333333333332,0.9792000000000001,0.8664888888888889,0.1127111111111112,0.9756509465791335,0.8393797664858986,0.1362711800932349,0.3616197567830418,98.02085729076086,7.569589742770514,0.82,0.9073777777777778,0.9059331486934772,0.92,0.9712,0.9699483538949807,0.20000000000000007,0.16728888888888893,0.2052263546658879,0.5515905962118699,356.69004487145656,107.87606873332696,246.10003733338326,29.20137169761953,12.23466448027959,17.399546973081698,C:\Users\cotjq\OneDrive\Desktop\python_code\Quantum Computing Lab\SVM_Data\alpha data\seed_44\alpha_seed44_run001_idx27_g2.70_B5_K3_xi1_C31.npz,20
44,1,28,5,3,1,2.8,31,0.94,0.78,0.15999999999999992,0.9808,0.866311111111111,0.11448888888888897,0.9781509465791335,0.8406784986126505,0.13747244796648295,0.3648802382694566,101.13769808042768,7.484037538422587,0.78,0.8878222222222223,0.8858638354299901,0.92,0.984,0.9857753443377568,0.18666666666666665,0.17600000000000016,0.21385152068797975,0.3194307404255087,312.77955452709364,144.46566198417923,218.13730400859686,29.733057166937137,13.868842020556276,20.231793900573045,C:\Users\cotjq\OneDrive\Desktop\python_code\Quantum Computing Lab\SVM_Data\alpha data\seed_44\alpha_seed44_run001_idx28_g2.80_B5_K3_xi1_C31.npz,20
44,1,29,5,3,1,2.9,31,0.94,0.7733333333333333,0.16666666666666663,0.9808,0.8643555555555557,0.11644444444444435,0.9781509465791335,0.8391208580395922,0.13903008853954124,0.3689494345194845,103.54685749525677,7.413304810175276,0.82,0.8785777777777777,0.8848058200364715,0.94,0.968,0.969685338113525,0.2466666666666667,0.1811555555555554,0.21236513649089783,0.33886932174987305,371.7779725101067,138.73518101123355,247.2908176090391,26.489309345222978,11.409531608304706,17.656395848764294,C:\Users\cotjq\OneDrive\Desktop\python_code\Quantum Computing Lab\SVM_Data\alpha data\seed_44\alpha_seed44_run001_idx29_g2.90_B5_K3_xi1_C31.npz,20
44,2,0,5,3,1,0.0,31,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,-1.0097419586828951e-28,50.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.075,50.0,50.0,50.0,C:\Users\cotjq\OneDrive\Desktop\python_code\Quantum Computing Lab\SVM_Data\alpha data\seed_44\alpha_seed44_run002_idx00_g0.00_B5_K3_xi1_C31.npz,20
44,2,1,5,3,1,0.1,31,0.84,0.7666666666666667,0.07333333333333325,0.9344,0.8661333333333333,0.0682666666666667,0.9404859519565403,0.848163110503393,0.09232284145314729,0.11704885812190402,228.38105741405118,23.19621495493452,0.8133333333333334,0.8938666666666667,0.8512876948358341,0.84,0.9552,0.9580696214474682,0.16666666666666674,0.16088888888888897,0.1842309764682194,0.0702055481147002,233.844648182112,124.13303535027637,177.6695215785923,37.59864757807771,24.640619990966254,28.388228330062645,C:\Users\cotjq\OneDrive\Desktop\python_code\Quantum Computing Lab\SVM_Data\alpha data\seed_44\alpha_seed44_run002_idx01_g0.10_B5_K3_xi1_C31.npz,20
44,2,2,5,3,1,0.2,31,0.88,0.8066666666666666,0.07333333333333336,0.9488000000000001,0.8922666666666667,0.056533333333333435,0.9513585296529239,0.8685758333167728,0.0827826963361511,0.12509523898395275,175.18249314917824,17.29259799480108,0.8333333333333334,0.9091555555555555,0.8898285674783477,0.88,0.9503999999999999,0.9536783815387935,0.18666666666666665,0.16195555555555552,0.16779264055294285,0.14692786472284375,349.37261050267705,115.10918263778203,239.50548394525944,34.55532945267702,17.00585272761177,21.646307030839814,C:\Users\cotjq\OneDrive\Desktop\python_code\Quantum Computing Lab\SVM_Data\alpha data\seed_44\alpha_seed44_run002_idx02_g0.20_B5_K3_xi1_C31.npz,20
44,2,3,5,3,1,0.3,31,0.88,0.8066666666666666,0.07333333333333336,0.9648,0.8981333333333335,0.06666666666666654,0.9649868006606398,0.8766116205431189,0.08837518011752088,0.14051579389435848,145.98951634135295,15.404328543836913,0.8533333333333334,0.9269333333333334,0.9136797393792756,0.9,0.9567999999999999,0.9598799444037505,0.1466666666666666,0.12071111111111121,0.1826093073975763,0.21024135873101024,338.2296350887292,162.07024242756555,249.00733961359032,33.335535120033384,15.371996635472644,20.46067861722836,C:\Users\cotjq\OneDrive\Desktop\python_code\Quantum Computing Lab\SVM_Data\alpha data\seed_44\alpha_seed44_run002_idx03_g0.30_B5_K3_xi1_C31.npz,20
44,2,4,5,3,1,0.4,31,0.9,0.8133333333333334,0.08666666666666667,0.9712000000000001,0.8917333333333334,0.07946666666666669,0.9659035310317179,0.8722865664318659,0.09361696459985203,0.18489741895697243,156.10066059701515,13.327616246321597,0.84,0.9262222222222223,0.9102523930653762,0.9,0.9744,0.9710529874426348,0.1399999999999999,0.14897777777777765,0.2074858991265135,0.2516064837272769,478.66665517268655,128.2759811745169,280.3800282592218,25.009279078577205,12.028153545071323,18.051358840744467,C:\Users\cotjq\OneDrive\Desktop\python_code\Quantum Computing Lab\SVM_Data\alpha data\seed_44\alpha_seed44_run002_idx04_g0.40_B5_K3_xi1_C31.npz,20
44,2,5,5,3,1,0.5,31,0.9,0.82,0.08000000000000007,0.9696,0.8942222222222224,0.07537777777777765,0.9643093281331672,0.8747770010911495,0.08953232704201763,0.1837385832775913,128.23843792865944,12.977071320186983,0.8466666666666667,0.9112888888888889,0.9089450715004357,0.94,0.9792,0.9770735912397092,0.15333333333333332,0.16675555555555555,0.216855474585125,0.27719936435703196,494.25882927668715,249.79871385440006,358.0968147126231,25.49348656925404,11.881504074647975,18.23347637282037,C:\Users\cotjq\OneDrive\Desktop\python_code\Quantum Computing Lab\SVM_Data\alpha data\seed_44\alpha_seed44_run002_idx05_g0.50_B5_K3_xi1_C31.npz,20
44,2,6,5,3,1,0.6,31,0.9,0.82,0.08000000000000007,0.9744,0.8986666666666667,0.07573333333333332,0.9701281952563822,0.8769713839522585,0.09315681130412368,0.20173444796027318,131.01376981894327,11.628934726106454,0.8333333333333334,0.9091555555555556,0.8921406199438527,0.94,0.9632000000000001,0.9664066220927037,0.19333333333333336,0.16266666666666663,0.1813105840184719,0.20584939966523075,454.389667738359,181.18357831606642,334.6318289848822,34.10322766630955,12.903604721694547,18.466085231212872,C:\Users\cotjq\OneDrive\Desktop\python_code\Quantum Computing Lab\SVM_Data\alpha data\seed_44\alpha_seed44_run002_idx06_g0.60_B5_K3_xi1_C31.npz,20
44,2,7,5,3,1,0.7,31,0.94,0.8133333333333334,0.1266666666666666,0.9808,0.8967111111111111,0.08408888888888888,0.9758857044138913,0.8731112141568141,0.10277449025707719,0.22268819345745533,129.09856402549678,10.80975391995792,0.8466666666666667,0.9185777777777778,0.9116930064660285,0.92,0.9712000000000001,0.9673222057547406,0.15333333333333332,0.15288888888888885,0.21692151039322827,0.48911085227761913,471.3567009721577,294.8689758839199,386.23639363832365,40.47195653574731,11.335800027170947,18.89518292435458,C:\Users\cotjq\OneDrive\Desktop\python_code\Quantum Computing Lab\SVM_Data\alpha data\seed_44\alpha_seed44_run002_idx07_g0.70_B5_K3_xi1_C31.npz,20
44,2,8,5,3,1,0.8,31,0.94,0.8,0.1399999999999999,0.9792,0.8864000000000001,0.09279999999999988,0.9730285615567484,0.8541816915999213,0.11884686995682714,0.2673566961828829,132.7749073934835,9.832595053952126,0.8533333333333334,0.9150222222222222,0.8939095788916913,0.94,0.9696,0.9741930230447393,0.16666666666666663,0.14293333333333325,0.2057338855969354,0.3600791136110401,524.1454548221247,220.47511832392195,375.6431790610961,27.739223357063523,10.520500760896986,17.873030127381213,C:\Users\cotjq\OneDrive\Desktop\python_code\Quantum Computing Lab\SVM_Data\alpha data\seed_44\alpha_seed44_run002_idx08_g0.80_B5_K3_xi1_C31.npz,20
44,2,9,5,3,1,0.9,31,0.94,0.8,0.1399999999999999,0.9792,0.8830222222222223,0.0961777777777777,0.9730285615567484,0.8490021331204723,0.12402642843627609,0.2793313853381394,128.42888161940573,9.66319555756844,0.86,0.9152000000000001,0.9102230758702425,0.9,0.9712,0.9689576587663544,0.16000000000000003,0.13688888888888884,0.21810197286052968,0.19939631368431238,479.7500183248872,278.85261257342177,395.3660616041601,37.567442276839834,12.85518870264209,20.568360093888145,C:\Users\cotjq\OneDrive\Desktop\python_code\Quantum Computing Lab\SVM_Data\alpha data\seed_44\alpha_seed44_run002_idx09_g0.90_B5_K3_xi1_C31.npz,20
44,2,10,5,3,1,1.0,31,0.94,0.8,0.1399999999999999,0.9792,0.8856888888888889,0.0935111111111111,0.9730285615567484,0.850738510602184,0.12229005095456447,0.2814507240963103,124.71810226269153,9.457329041394205,0.8533333333333334,0.9189333333333334,0.8930142321662489,0.92,0.9711999999999998,0.973781127085475,0.17999999999999994,0.1637333333333334,0.22047663589982525,0.3661973230453865,554.8077058561439,122.3187205215379,362.162053175253,34.7374029184111,12.975890424227906,19.892186600794336,C:\Users\cotjq\OneDrive\Desktop\python_code\Quantum Computing Lab\SVM_Data\alpha data\seed_44\alpha_seed44_run002_idx10_g1.00_B5_K3_xi1_C31.npz,20
